iso2,network_id,network_name,mcc,mnc,cc,prefix,live_coverage,rates
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614801,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614802,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614803,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614804,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614805,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614806,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614807,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614830,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614831,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614832,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614833,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614838,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614839,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61484,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61486,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61487,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614880,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614881,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614882,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614883,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614884,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614885,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614886,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614887,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614889,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61491,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61492,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61493,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614930,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614931,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614932,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614933,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614934,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614935,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614936,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614937,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614938,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614940,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614941,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614942,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614943,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614944,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61404,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61405,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61406,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61410,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61414,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61415,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61416,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614202,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614203,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614204,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614205,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614206,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614207,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614208,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614209,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61424,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61425,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61426,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61430,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61433,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61449,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61450,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61451,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61452,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,61453,TRUE,0.000525
AU,61511,Vodafone Australia Pty Ltd,505,03,61,614888,TRUE,0.000525
AW,297500,New Millennium Telecom (Digicell),363,2,297,29729,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,297290,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,29763,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,297630,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,29764,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,297640,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,297641,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,29773,TRUE,0.0006825
AW,297500,New Millennium Telecom (Digicell),363,2,297,29774,TRUE,0.0006825
AW,297501,SETAR,363,1,297,2975,TRUE,0.0006825
AW,297501,SETAR,363,1,297,29756,TRUE,0.0006825
AW,297501,SETAR,363,1,297,29759,TRUE,0.0006825
AW,297501,SETAR,363,1,297,29766,TRUE,0.0006825
AW,297501,SETAR,363,1,297,29769,TRUE,0.0006825
AW,297501,SETAR,363,1,297,29777,TRUE,0.0006825
AW,297501,SETAR,363,1,297,297995,TRUE,0.0006825
AW,297501,SETAR,363,1,297,297996,TRUE,0.0006825
AW,297501,SETAR,363,1,297,297997,TRUE,0.0006825
AW,297501,SETAR,363,1,297,297998,TRUE,0.0006825
AZ,994500,Azercell Telecom LLC,400,1,994,99450,TRUE,0.0007875
